Index	Gender	Year	Major	Question Grouping	Questiontext	NumericResponses	TextResponses	QuestionID
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_newspaper
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	0	Q9_others
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_social
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_tv
2	Male	Graduate program	STEM majors	Do you have any plans to invest for your retirement?	Do you have any plans to invest for your retirement?	1	Yes	Question 10
2	Male	Graduate program	STEM majors	Do you look at your investments as an emergency fund?	Do you look at your investments as an emergency fund?	1	Yes	Question 11
2	Male	Graduate program	STEM majors	Would you like to get educated on how to make financial investments?	Would you like to get educated on how to make financial investments?	1	Yes	Question 13
2	Male	Graduate program	STEM majors	Are you dependent on your guardians for your daily expenses?	Are you dependent on your guardians for your daily expenses?	1	Yes	Question 15
2	Male	Graduate program	STEM majors	Do you currently have a student loan?	Do you currently have a student loan?	1	Yes	Question 16
2	Male	Graduate program	STEM majors	What is your average monthly income?	What is your average monthly income?	0	< $500	Question 17
2	Male	Graduate program	STEM majors	What are your expenditures on inessentials each month?	What are your expenditures on inessentials each month?	0	< $500	Question 18
2	Male	Graduate program	STEM majors	What percentage of your annual income would you invest?	What percentage of your annual income would you invest?	3	15% - 20%	Question 19
2	Male	Graduate program	STEM majors	What is your age?	What is your age?	25	25	Question 2
2	Male	Graduate program	STEM majors	Are you an international student?	Are you an international student?	1	Yes	Question 4
2	Male	Graduate program	STEM majors	Have you ever thought about investing?	Have you ever thought about investing?	2	No	Question 6
3	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_app
3	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_notsure
3	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_seminar
3	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_sms
3	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_webinar
3	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_youtube
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_bond
3	Female	Graduate program	STEM majors	What kind of financial products you are investing in/interested in?	What kind of financial products you are investing in/interested in?	0	0	Q7_fund
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_insurance
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_no
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_others
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_saving
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_stock
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_entrance
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_management
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_others
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_return
3	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_risk
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_ad
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_bank
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_family
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_friends
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_newspaper
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	0	Q9_others
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_social
3	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_tv
3	Female	Graduate program	STEM majors	Do you have any plans to invest for your retirement?	Do you have any plans to invest for your retirement?	1	Yes	Question 10
3	Female	Graduate program	STEM majors	Do you look at your investments as an emergency fund?	Do you look at your investments as an emergency fund?	1	Yes	Question 11
3	Female	Graduate program	STEM majors	Would you like to get educated on how to make financial investments?	Would you like to get educated on how to make financial investments?	1	Yes	Question 13
3	Female	Graduate program	STEM majors	Are you dependent on your guardians for your daily expenses?	Are you dependent on your guardians for your daily expenses?	2	No	Question 15
3	Female	Graduate program	STEM majors	Do you currently have a student loan?	Do you currently have a student loan?	2	No	Question 16
3	Female	Graduate program	STEM majors	What is your average monthly income?	What is your average monthly income?	1	$500 - $1000	Question 17
3	Female	Graduate program	STEM majors	What are your expenditures on inessentials each month?	What are your expenditures on inessentials each month?	1	$500 - $1000	Question 18
3	Female	Graduate program	STEM majors	What percentage of your annual income would you invest?	What percentage of your annual income would you invest?	0	<5%	Question 19
3	Female	Graduate program	STEM majors	What is your age?	What is your age?	23	23	Question 2
3	Female	Graduate program	STEM majors	Are you an international student?	Are you an international student?	1	Yes	Question 4
3	Female	Graduate program	STEM majors	Have you ever thought about investing?	Have you ever thought about investing?	1	Yes	Question 6
4	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_app
4	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_notsure
4	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_seminar
4	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_sms
4	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_webinar
4	Female	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_youtube
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_bond
4	Female	Graduate program	STEM majors	What kind of financial products you are investing in/interested in?	What kind of financial products you are investing in/interested in?	0	0	Q7_fund
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_insurance
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_no
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_others
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_saving
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_stock
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_entrance
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_management
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_others
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_return
4	Female	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_risk
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_ad
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_bank
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_family
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_friends
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_newspaper
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	0	Q9_others
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_social
4	Female	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_tv
4	Female	Graduate program	STEM majors	Do you have any plans to invest for your retirement?	Do you have any plans to invest for your retirement?	1	Yes	Question 10
4	Female	Graduate program	STEM majors	Do you look at your investments as an emergency fund?	Do you look at your investments as an emergency fund?	0	Not Sure	Question 11
4	Female	Graduate program	STEM majors	Would you like to get educated on how to make financial investments?	Would you like to get educated on how to make financial investments?	1	Yes	Question 13
4	Female	Graduate program	STEM majors	Are you dependent on your guardians for your daily expenses?	Are you dependent on your guardians for your daily expenses?	2	No	Question 15
4	Female	Graduate program	STEM majors	Do you currently have a student loan?	Do you currently have a student loan?	2	No	Question 16
4	Female	Graduate program	STEM majors	What is your average monthly income?	What is your average monthly income?	0	< $500	Question 17
4	Female	Graduate program	STEM majors	What are your expenditures on inessentials each month?	What are your expenditures on inessentials each month?	2	$1000 - $2000	Question 18
4	Female	Graduate program	STEM majors	What percentage of your annual income would you invest?	What percentage of your annual income would you invest?	1	5% - 10%	Question 19
4	Female	Graduate program	STEM majors	What is your age?	What is your age?	23	23	Question 2
4	Female	Graduate program	STEM majors	Are you an international student?	Are you an international student?	1	Yes	Question 4
4	Female	Graduate program	STEM majors	Have you ever thought about investing?	Have you ever thought about investing?	3	Maybe	Question 6
5	Female	Senior	"Literature, language and social science majors"	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_app
5	Female	Senior	"Literature, language and social science majors"	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_notsure
5	Female	Senior	"Literature, language and social science majors"	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_seminar
5	Female	Senior	"Literature, language and social science majors"	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_sms
5	Female	Senior	"Literature, language and social science majors"	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_webinar
5	Female	Senior	"Literature, language and social science majors"	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_youtube
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_bond
5	Female	Senior	"Literature, language and social science majors"	What kind of financial products you are investing in/interested in?	What kind of financial products you are investing in/interested in?	0	0	Q7_fund
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_insurance
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_no
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_others
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_saving
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_stock
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_entrance
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_management
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_others
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_return
5	Female	Senior	"Literature, language and social science majors"	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_risk
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_ad
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_bank
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_family
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_friends
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_newspaper
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_others
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_social
5	Female	Senior	"Literature, language and social science majors"	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_tv
5	Female	Senior	"Literature, language and social science majors"	Do you have any plans to invest for your retirement?	Do you have any plans to invest for your retirement?	1	Yes	Question 10
5	Female	Senior	"Literature, language and social science majors"	Do you look at your investments as an emergency fund?	Do you look at your investments as an emergency fund?	1	Yes	Question 11
5	Female	Senior	"Literature, language and social science majors"	Would you like to get educated on how to make financial investments?	Would you like to get educated on how to make financial investments?	1	Yes	Question 13
5	Female	Senior	"Literature, language and social science majors"	Are you dependent on your guardians for your daily expenses?	Are you dependent on your guardians for your daily expenses?	1	Yes	Question 15
5	Female	Senior	"Literature, language and social science majors"	Do you currently have a student loan?	Do you currently have a student loan?	2	No	Question 16
5	Female	Senior	"Literature, language and social science majors"	What is your average monthly income?	What is your average monthly income?	1	$500 - $1000	Question 17
5	Female	Senior	"Literature, language and social science majors"	What are your expenditures on inessentials each month?	What are your expenditures on inessentials each month?	0	< $500	Question 18
5	Female	Senior	"Literature, language and social science majors"	What percentage of your annual income would you invest?	What percentage of your annual income would you invest?	1	5% - 10%	Question 19
5	Female	Senior	"Literature, language and social science majors"	What is your age?	What is your age?	21	21	Question 2
5	Female	Senior	"Literature, language and social science majors"	Are you an international student?	Are you an international student?	1	Yes	Question 4
5	Female	Senior	"Literature, language and social science majors"	Have you ever thought about investing?	Have you ever thought about investing?	2	No	Question 6
6	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_app
6	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_notsure
6	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_seminar
6	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_sms
6	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_webinar
6	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_youtube
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_bond
6	Female	Graduate program	Business related majors	What kind of financial products you are investing in/interested in?	What kind of financial products you are investing in/interested in?	0	0	Q7_fund
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_insurance
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_no
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_others
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_saving
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_stock
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_entrance
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_management
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_others
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_return
6	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_risk
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_ad
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_bank
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_family
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_friends
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_newspaper
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	0	Q9_others
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_social
6	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_tv
6	Female	Graduate program	Business related majors	Do you have any plans to invest for your retirement?	Do you have any plans to invest for your retirement?	2	No	Question 10
6	Female	Graduate program	Business related majors	Do you look at your investments as an emergency fund?	Do you look at your investments as an emergency fund?	0	Not Sure	Question 11
6	Female	Graduate program	Business related majors	Would you like to get educated on how to make financial investments?	Would you like to get educated on how to make financial investments?	1	Yes	Question 13
6	Female	Graduate program	Business related majors	Are you dependent on your guardians for your daily expenses?	Are you dependent on your guardians for your daily expenses?	1	Yes	Question 15
6	Female	Graduate program	Business related majors	Do you currently have a student loan?	Do you currently have a student loan?	2	No	Question 16
6	Female	Graduate program	Business related majors	What is your average monthly income?	What is your average monthly income?	0	< $500	Question 17
6	Female	Graduate program	Business related majors	What are your expenditures on inessentials each month?	What are your expenditures on inessentials each month?	2	$1000 - $2000	Question 18
